127.0.0.1 - - [16/Jan/2024:12:11:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:11:33 +0530] "GET /food_app/ HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:11:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:11:42 +0530] "GET /food_app/login.jsp HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:11:48 +0530] "POST /food_app/find HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:11:55 +0530] "GET /food_app/veg HTTP/1.1" 200 4428
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:11:57 +0530] "GET /food_app/components HTTP/1.1" 200 6980
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:11:59 +0530] "GET /food_app/add?n=1 HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:12:03 +0530] "GET /food_app/components HTTP/1.1" 200 6980
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:12:05 +0530] "GET /food_app/add?n=2 HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:24:35 +0530] "GET /food_app/login.jsp HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:24:40 +0530] "POST /food_app/find HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:24:50 +0530] "GET /food_app/Register.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:25:02 +0530] "GET /food_app/saveuser?name=abc&email=jaggujagadesh851%40gmail.com&password=abcd HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:26:11 +0530] "POST /food_app/find HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:26:14 +0530] "GET /food_app/components HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:26:16 +0530] "GET /food_app/add?n=1&userid= HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:26:44 +0530] "GET /food_app/components HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:26:46 +0530] "GET /food_app/add?n=1&userid= HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:26:50 +0530] "GET /food_app/components HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:26:52 +0530] "GET /food_app/veg HTTP/1.1" 200 4444
0:0:0:0:0:0:0:1 - - [16/Jan/2024:12:26:54 +0530] "GET /food_app/add?n=2&userid= HTTP/1.1" 200 3165
