127.0.0.1 - - [06/Feb/2024:15:22:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:22:08 +0530] "GET /food_app/ HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:22:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:22:48 +0530] "GET /food_app/login.jsp HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:10 +0530] "POST /food_app/find HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:18 +0530] "POST /food_app/find HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:26 +0530] "GET /food_app/components HTTP/1.1" 200 9577
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:28 +0530] "GET /food_app/veg HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:30 +0530] "GET /food_app/nonveg HTTP/1.1" 200 5657
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:32 +0530] "GET /food_app/curry HTTP/1.1" 200 4470
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:38 +0530] "GET /food_app/components HTTP/1.1" 200 9577
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:44 +0530] "GET /food_app/nonveg HTTP/1.1" 200 5657
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:48 +0530] "GET /food_app/curry HTTP/1.1" 200 4470
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:23:55 +0530] "GET /food_app/add?n=7&userid= HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:24:00 +0530] "GET /food_app/components HTTP/1.1" 200 9577
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:24:02 +0530] "GET /food_app/add?n=1&userid=1 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:24:16 +0530] "GET /food_app/veg HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:24:18 +0530] "GET /food_app/components HTTP/1.1" 200 9577
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:24:27 +0530] "GET /food_app/veg HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:24:29 +0530] "GET /food_app/nonveg HTTP/1.1" 200 5657
0:0:0:0:0:0:0:1 - - [06/Feb/2024:15:24:30 +0530] "GET /food_app/curry HTTP/1.1" 200 4470
