127.0.0.1 - - [19/Apr/2024:11:40:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:40:15 +0530] "GET /food_app/login.jsp HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:40:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:41:50 +0530] "POST /food_app/find HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:41:55 +0530] "POST /food_app/find HTTP/1.1" 200 11634
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:41:59 +0530] "GET /food_app/components HTTP/1.1" 200 11634
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:42:00 +0530] "GET /food_app/veg HTTP/1.1" 200 5403
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:42:05 +0530] "GET /food_app/nonveg HTTP/1.1" 200 7718
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:42:08 +0530] "GET /food_app/curry HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:42:11 +0530] "GET /food_app/components HTTP/1.1" 200 11634
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:42:26 +0530] "GET /food_app/add?n=1&userid=3 HTTP/1.1" 200 11695
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:42:33 +0530] "GET /food_app/add?n=2&userid=3 HTTP/1.1" 200 11756
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:47:37 +0530] "GET /food_app/logout HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:51:39 +0530] "POST /food_app/find HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:51:47 +0530] "POST /food_app/find HTTP/1.1" 200 11634
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:52:43 +0530] "GET /food_app/logout HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:52:49 +0530] "GET /food_app/Register.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:53:29 +0530] "GET /food_app/Adminlogin.jsp HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:53:46 +0530] "POST /food_app/findadmin HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [19/Apr/2024:11:53:50 +0530] "GET /food_app/AddFoodItems.jsp HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:31:40 +0530] "GET /food_app/login.jsp HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:31:52 +0530] "POST /food_app/find HTTP/1.1" 200 11657
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:31:59 +0530] "GET /food_app/add?n=1&userid=3 HTTP/1.1" 200 11718
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:32:01 +0530] "GET /food_app/add?n=2&userid=3 HTTP/1.1" 200 11779
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:32:04 +0530] "GET /food_app/index.jsp HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:32:42 +0530] "GET /food_app/logout HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:32:46 +0530] "POST /food_app/find HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:32:47 +0530] "GET /food_app/add?n=1&userid=3 HTTP/1.1" 200 11724
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:32:55 +0530] "GET /food_app/add?n=2&userid=3 HTTP/1.1" 200 11785
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:32:57 +0530] "GET /food_app/add?n=3&userid=3 HTTP/1.1" 200 11848
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:33:07 +0530] "GET /food_app/index.jsp HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:33:13 +0530] "GET /food_app/add?n=4&userid=3 HTTP/1.1" 200 11902
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:33:15 +0530] "GET /food_app/index.jsp HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:34:00 +0530] "GET /food_app/logout HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:34:07 +0530] "POST /food_app/find HTTP/1.1" 200 11648
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:34:09 +0530] "GET /food_app/add?n=1&userid=3 HTTP/1.1" 200 11728
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:34:19 +0530] "GET /food_app/add?n=1&userid=3 HTTP/1.1" 200 11808
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:34:28 +0530] "GET /food_app/logout HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:34:31 +0530] "POST /food_app/find HTTP/1.1" 200 11648
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:34:33 +0530] "GET /food_app/add?n=1&userid=3 HTTP/1.1" 200 11728
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:34:36 +0530] "GET /food_app/add?n=1&userid=3 HTTP/1.1" 200 11808
0:0:0:0:0:0:0:1 - - [19/Apr/2024:16:34:38 +0530] "GET /food_app/add?n=2&userid=3 HTTP/1.1" 200 11893
